book_link,book_five_star,book_four_star,book_three_star,book_two_star,book_one_star,book_ranks,book_serie,book_gelezens,book_aanhetlezens,book_wiliklezens,book_favoriets,book_recensiess,book_genre,book_aantal_pagina,book_uitgeverij,book_eerste_editie,book_laaste_editi,book_isbn
https://www.hebban.nl/boek/het-huis-anubis-2-het-geheim-van-de-tombe,6,4,6,0,0,-1,[],20,0,6,1,0,"['Kind & Jeugd', 'Fictie kinder- en jeugdboeken algemeen']",[],Studio 100 NV,23 mei 2007,23 mei 2007,9789059162334
https://www.hebban.nl/boek/een-draak-op-het-plein-jozua-douglas,0,0,0,0,0,-1,[],0,0,1,0,0,"['Kind & Jeugd', 'Leren lezen']",[],Zwijsen Uitgeverij,02 februari 2015,02 februari 2015,9789048721344
https://www.hebban.nl/boek/de-eindeling-2-katherine-applegate,9,11,2,0,0,-1,De Eindeling (2),24,0,17,0,2,"['Kind & Jeugd', 'Leren lezen', 'Fictie 10-12 jaar']",400,Billy Bones,07 november 2019,30 september 2020,"['9789463850131', '9789463850650']"
https://www.hebban.nl/boek/de-steen-en-de-tijd-rian-visser,2,3,5,1,0,-1,[],12,0,2,0,0,"['Kind & Jeugd', 'Prentenboeken (<6 jaar)']",32,Books2download,18 mei 2020,18 mei 2020,9789491647260
https://www.hebban.nl/boek/de-moord-op-windsor-castle-sj-bennett,6,25,17,4,0,283,[],55,10,106,0,6,"['Literatuur & Romans', 'Thriller']",286,Nieuw Amsterdam,15 april 2021,15 april 2021,"['9789046827628', '9789046827635']"
https://www.hebban.nl/boek/chocoladebijbel-kees-raat,1,4,0,0,0,-1,[],4,1,7,0,0,"['Culinair', 'Eten en drinken algemeen']",496,Carrera,03 december 2018,03 december 2018,"['9789048844401', '9789048844418']"
https://www.hebban.nl/boek/wie-rijdt-leo-timmers,1,1,0,0,0,-1,[],2,0,0,0,0,"['Kind & Jeugd', 'Prentenboeken (<6 jaar)', 'Peuterboeken']",[],Uitgeverij Clavis B.V.B.A.,31 januari 2012,31 januari 2012,"['9789044804980', '9789021414737']"
https://www.hebban.nl/boek/een-engel-voor-het-paradijs-virginia-andrews,13,11,16,2,0,-1,Casteel (4),65,0,17,1,1,"['Feelgood', 'Griezel- en spookverhalen, horror', 'Spannende boeken algemeen', 'Pockets algemeen', 'Populaire fiction algemeen']",[],De Fontein Romans & Spanning,01 januari 1900,23 juli 2021,"['9789032504496', '9789044926071', '9789024557462']"
https://www.hebban.nl/boek/desserts-5,0,0,1,0,0,-1,[],1,0,0,0,0,"['Culinair', 'Eten en drinken algemeen']",96,Rebo Productions B.V.,26 augustus 2005,22 augustus 2007,9789036618243
https://www.hebban.nl/boek/eenpans,0,0,0,0,0,-1,[],1,0,0,0,0,"['Culinair', 'Eten en drinken algemeen']",96,Rebo Productions B.V.,24 augustus 2005,01 juli 2005,9789036618250
