position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1290,Christine Linneweever,https://www.hebban.nl/auteur/christine-linneweever,5,39,173,2,77,39,5,,1,2,
1291,Tieme Woldman,https://www.hebban.nl/auteur/tieme-woldman,40,4,38,1,75,4,19,1,,1,
1292,Eva Nagelkerke,https://www.hebban.nl/auteur/eva-nagelkerke,14,30,746,14,797,30,67,1,,,
1293,Frances  Hodgson Burnett,https://www.hebban.nl/auteur/frances-hodgson-burnet-2,,43,513,6,137,43,25,,,1,
1294,Beth O'Leary,https://www.hebban.nl/auteur/beth-oleary,6,37,742,23,648,37,39,,,3,
1295,Luc Descamps,https://www.hebban.nl/auteur/luc-descamps,10,33,339,11,159,33,36,,,1,
1296,Rosamunde Pilcher,https://www.hebban.nl/auteur/rosamunde-pilcher,10,33,509,4,162,33,10,,1,7,
1297,Cinda Williams Chima,https://www.hebban.nl/auteur/cinda-williams-chima,16,27,199,10,187,27,5,,,1,
1298,Nicky Pellegrino,https://www.hebban.nl/auteur/nicky-pellegrino,22,21,816,19,591,21,24,1,,5,
1299,Sara Nović,https://www.hebban.nl/auteur/sara-novic,5,38,340,8,237,38,22,1,,1,
1300,Ad van de Lisdonk,https://www.hebban.nl/auteur/ad-van-de-lisdonk,33,10,294,10,229,10,65,3,,2,
1301,Johan Vandevelde,https://www.hebban.nl/auteur/johan-vandevelde,15,28,148,3,59,28,7,1,,1,
1302,Andreas Eschbach,https://www.hebban.nl/auteur/andreas-eschbach,24,19,360,7,116,19,51,,,,
1303,Lionel Shriver,https://www.hebban.nl/auteur/lionel-shriver,7,36,390,15,299,36,29,1,,2,
1304,Scarlett Thomas,https://www.hebban.nl/auteur/scarlett-thomas-2,14,29,456,15,448,29,35,,,3,
1305,Jerrad Hoff,https://www.hebban.nl/auteur/jerrad-hoff,36,7,87,2,117,7,62,,,,
1306,Marente de Moor,https://www.hebban.nl/auteur/marente-de-moor,25,18,451,11,252,18,11,2,3,2,
1307,P.D. James,https://www.hebban.nl/auteur/pd-james,36,7,354,5,148,7,14,1,,3,
1308,Andy Weir,https://www.hebban.nl/auteur/andy-weir,7,36,290,13,177,36,37,5,,5,
1309,Alan Bradley,https://www.hebban.nl/auteur/alan-bradley,18,25,335,5,103,25,20,,,1,
1310,Diane Broeckhoven,https://www.hebban.nl/auteur/diane-broeckhoven,15,28,647,8,408,28,33,1,,9,
1311,Richard Schwartz,https://www.hebban.nl/auteur/richard-schwartz,23,20,415,6,298,20,16,2,,1,
1312,Jan P. Meijers,https://www.hebban.nl/auteur/jan-p-meijers,39,4,76,1,62,4,20,,,,
1313,Maria Adolfsson,https://www.hebban.nl/auteur/maria-adolfsson,26,17,1073,47,793,17,50,,,2,
1314,Claire McGowan,https://www.hebban.nl/auteur/claire-mcgowan,32,11,273,2,184,11,53,,,1,
