position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1762,Jennifer Brown,https://www.hebban.nl/auteur/jennifer-brown,8,20,169,4,92,20,16,3,,3,
1763,Sanne van Ooijen,https://www.hebban.nl/auteur/sanne-van-ooijen,7,21,724,27,392,22,11,,,,
1764,Nico De Braeckeleer,https://www.hebban.nl/auteur/nico-de-braeckeleer,14,14,87,4,48,14,13,,,1,
1765,Nancy Olthoff,https://www.hebban.nl/auteur/nancy-olthoff,25,3,132,3,149,3,33,,1,,
1766,Aaf Brandt Corstius,https://www.hebban.nl/auteur/aaf-brandt-corstius-2,24,4,308,7,47,4,13,1,1,,
1767,Marian Mudder,https://www.hebban.nl/auteur/marian-mudder,26,2,226,5,88,2,24,3,1,,
1768,Ivo Victoria,https://www.hebban.nl/auteur/ivo-victoria,23,5,328,12,159,5,114,6,2,9,
1769,Emily St. John Mandel,https://www.hebban.nl/auteur/emily-st-john-mandel,7,21,239,8,268,21,40,,,1,
1770,Mark van Dijk,https://www.hebban.nl/auteur/mark-van-dijk,25,3,117,3,70,3,45,1,,3,
1771,Mary Shelley,https://www.hebban.nl/auteur/mary-shelley,,27,336,17,171,27,11,,,8,
1772,Martijn van der Kooij,https://www.hebban.nl/auteur/martijn-van-der-kooij,21,7,64,5,26,7,29,,,,
1773,Atalanta Nèhmoura,https://www.hebban.nl/auteur/atalanta-nehmoura,21,7,153,1,119,7,28,1,,2,
1774,Ingrid de Graaff,https://www.hebban.nl/auteur/ingrid-de-graaff-2,28,,2,0,5,0,1,,,,
1775,Mensje van Keulen,https://www.hebban.nl/auteur/mensje-van-keulen-2,17,11,629,15,330,11,40,4,2,2,
1776,Corinne Vlaminckx,https://www.hebban.nl/auteur/corinne-vlaminckx,13,15,105,0,67,15,35,,,,
1777,Yaa Gyasi,https://www.hebban.nl/auteur/yaa-gyasi,4,24,215,7,225,24,16,1,,,
1778,Karen Dionne,https://www.hebban.nl/auteur/karen-dionne,8,20,857,38,903,20,78,,,2,
1779,Maggie O'Farrell,https://www.hebban.nl/auteur/maggie-ofarrell,7,21,410,12,480,21,35,,,,
1780,Elia Barceló,https://www.hebban.nl/auteur/elia-barcelo,18,10,321,5,122,10,23,,,4,
1781,Imme Dros,https://www.hebban.nl/auteur/imme-dros,9,19,266,16,102,19,19,1,,6,
1782,Annabel Pitcher,https://www.hebban.nl/auteur/annabel-pitcher,10,18,221,2,124,18,22,9,,1,
1783,L.A. Weatherly,https://www.hebban.nl/auteur/la-weatherly,10,18,90,4,71,18,4,,,,
1784,Angelina van Kemenade,https://www.hebban.nl/auteur/angelina-van-kemenade,28,,2,0,0,0,1,,,,
1785,Manon Sikkel,https://www.hebban.nl/auteur/manon-sikkel,11,17,299,6,83,17,23,3,2,2,
1786,Anna Jansson,https://www.hebban.nl/auteur/anna-jansson,17,11,233,5,133,11,12,,,,
1787,Wieslaw Mysliwski,https://www.hebban.nl/auteur/wieslaw-mysliwski,6,22,165,12,194,22,24,,,1,
1788,Tania Carver,https://www.hebban.nl/auteur/tania-carver,23,5,127,4,78,5,13,,,1,
1789,Johann Wolfgang von Goethe,https://www.hebban.nl/auteur/johann-wolfgang-von-goethe-3,7,21,343,8,66,21,10,,,4,
1790,Irvine Welsh,https://www.hebban.nl/auteur/irvine-welsh,13,15,120,6,78,15,6,1,1,1,
1791,Jan-Philipp Sendker,https://www.hebban.nl/auteur/jan-philipp-sendker,2,26,251,4,240,26,24,,,2,
1792,Ruth Newman,https://www.hebban.nl/auteur/ruth-newman,16,12,301,5,91,12,25,,,,
1793,Colum McCann,https://www.hebban.nl/auteur/colum-mccann,4,24,155,9,229,24,31,1,,3,
1794,Ciro Tota,https://www.hebban.nl/auteur/ciro-tota,2,26,90,4,57,26,8,,,,
1795,Julia,https://www.hebban.nl/auteur/julia-2,27,,3,0,5,1,2,,,,
1796,Sara B. Elfgren,https://www.hebban.nl/auteur/sara-b-elfgren,10,18,283,8,259,18,19,1,,2,
1797,Claudia Vanzegbroeck,https://www.hebban.nl/auteur/claudia-vanzegbroeck,26,2,34,1,29,2,20,,,1,
1798,Jan Cremer,https://www.hebban.nl/auteur/jan-cremer,10,18,301,9,92,16,11,1,2,1,
1799,Janet Evanovich,https://www.hebban.nl/auteur/janet-evanovich,19,9,525,6,93,9,26,,,2,
1800,Donald Ray Pollock,https://www.hebban.nl/auteur/donald-ray-pollock,8,20,120,1,116,20,16,1,,1,
1801,Jos Pierreux,https://www.hebban.nl/auteur/jos-pierreux,10,18,240,6,127,18,65,3,1,,
1802,Jody Hedlund,https://www.hebban.nl/auteur/jody-hedlund,8,20,424,2,368,20,31,,,2,
1803,Peter Høeg,https://www.hebban.nl/auteur/peter-hoeg-2,7,21,384,8,122,21,14,,,1,
1804,Holly Martin,https://www.hebban.nl/auteur/holly-martin-2,8,20,830,43,1165,20,57,1,,1,
1805,Ivan Gontsjarov,https://www.hebban.nl/auteur/ivan-gontsjarov,,27,196,5,83,27,5,,,5,
1806,Auke Pols,https://www.hebban.nl/auteur/auke-pols,27,,22,1,22,1,1,,,1,
1807,Simone Elkeles,https://www.hebban.nl/auteur/simone-elkeles,9,19,93,0,32,19,5,1,,1,
1808,Rian Visser,https://www.hebban.nl/auteur/rian-visser,23,5,243,2,41,5,14,1,1,2,
1809,Ann Brashares,https://www.hebban.nl/auteur/ann-brashares,14,14,396,3,174,14,16,1,1,4,
1810,Vannessa Thuyns,https://www.hebban.nl/auteur/vannessa-thuyns,17,11,199,8,230,11,44,,,3,
1811,Jesper Stein,https://www.hebban.nl/auteur/jesper-stein,17,11,231,10,304,11,16,,,,
1812,Mike Nicol,https://www.hebban.nl/auteur/mike-nicol,15,13,180,3,139,13,23,2,,2,
1813,Benjamin Ludwig,https://www.hebban.nl/auteur/benjamin-ludwig,6,21,283,8,282,21,23,,,7,
1814,Laura Maaskant,https://www.hebban.nl/auteur/laura-maaskant,7,20,232,7,84,20,11,2,1,,
1815,Toni Morrison,https://www.hebban.nl/auteur/toni-morrison,4,23,311,10,289,23,17,2,1,3,
1816,Leila Slimani,https://www.hebban.nl/auteur/leila-slimani,4,23,561,30,628,24,29,1,4,4,
1817,Susan Hill,https://www.hebban.nl/auteur/susan-hill,12,15,280,2,113,15,33,1,,2,
1818,Sara Sparkel,https://www.hebban.nl/auteur/sara-sparkel,6,21,287,5,152,21,22,,,,
1819,Lauren Brooke,https://www.hebban.nl/auteur/lauren-brooke,8,19,267,3,14,19,4,,,2,
1820,Rita Spijker,https://www.hebban.nl/auteur/rita-spijker,20,7,395,13,95,7,33,,,,
1821,Lars Rambe,https://www.hebban.nl/auteur/lars-rambe,24,3,91,4,30,3,32,1,,,
1822,Barbara Taylor Bradford,https://www.hebban.nl/auteur/barbara-taylor-bradford,13,14,563,3,307,14,11,1,,,
1823,Vera Lundi,https://www.hebban.nl/auteur/vera-lundi,25,2,48,0,43,2,29,2,,,
1824,Pieter Serrien,https://www.hebban.nl/auteur/pieter-serrien,17,10,133,5,135,10,8,,,1,
1825,James Ellroy,https://www.hebban.nl/auteur/james-ellroy,8,19,135,4,78,19,6,3,,,
1826,Angel van der Vecht,https://www.hebban.nl/auteur/angel-van-der-vecht,2,25,371,5,233,25,22,,,,
1827,Tine Bergen,https://www.hebban.nl/auteur/tine-bergen,13,14,368,3,339,14,89,,,3,
1828,Lesley Downer,https://www.hebban.nl/auteur/lesley-downer,6,21,157,4,164,21,9,,,1,
1829,Bjørn Andreas Bull-Hansen,https://www.hebban.nl/auteur/bjorn-andreas-bull-hansen,15,12,140,16,293,12,10,1,,1,
1830,Holly Jackson,https://www.hebban.nl/auteur/holly-jackson,4,23,140,5,317,23,24,,,,
1831,Jelle Derckx,https://www.hebban.nl/auteur/jelle-derckx,24,3,74,7,49,3,2,,,,
1832,Torey Hayden,https://www.hebban.nl/auteur/torey-hayden,9,18,346,5,108,18,17,,,1,
1833,S.J. Kincaid,https://www.hebban.nl/auteur/sj-kincaid,9,18,175,10,192,18,19,,,3,
1834,Chris Mooney,https://www.hebban.nl/auteur/chris-mooney,22,5,237,5,92,5,20,,,,
1835,Gerrit Komrij,https://www.hebban.nl/auteur/gerrit-komrij,15,12,292,15,83,12,9,2,1,5,
1836,Yvette van Boven,https://www.hebban.nl/auteur/yvette-van-boven,15,12,118,3,86,12,7,7,,9,
1837,Monica Roos,https://www.hebban.nl/auteur/monica-roos,26,,9,0,2,1,3,,,,
1838,C.J. Daugherty,https://www.hebban.nl/auteur/cj-daugherty,12,15,275,10,245,15,12,,,,
1839,Marja Visscher,https://www.hebban.nl/auteur/marja-visscher,15,12,736,24,559,12,58,1,,14,
1840,Joyce Spijker,https://www.hebban.nl/auteur/joyce-spijker,17,10,296,4,182,10,68,3,,6,
1841,Maarten Biesheuvel,https://www.hebban.nl/auteur/maarten-biesheuvel,,26,491,23,197,26,12,,4,1,
1842,Richard Yates,https://www.hebban.nl/auteur/richard-yates,,26,182,1,78,26,17,,,,
1843,Eva Meijer,https://www.hebban.nl/auteur/eva-meijer,12,15,356,19,404,15,22,2,6,1,
1844,Michiel Janzen,https://www.hebban.nl/auteur/michiel-janzen,12,15,103,4,63,15,45,,,,
1845,Quentin Tarantino,https://www.hebban.nl/auteur/quentin-tarantino,27,,4,0,0,0,0,,1,,
1846,Elisabeth Leijnse,https://www.hebban.nl/auteur/elisabeth-leijnse,,26,190,15,118,26,18,1,,,
1847,Alice Oseman,https://www.hebban.nl/auteur/alice-oseman,3,24,197,6,80,24,6,,,,
1848,Anita Amirrezvani,https://www.hebban.nl/auteur/anita-amirrezvani,7,20,304,5,97,20,12,,,,
1849,Stephen R. Covey,https://www.hebban.nl/auteur/stephen-r-covey,,26,151,29,95,26,2,,,,
1850,Maria Postema,https://www.hebban.nl/auteur/maria-postema,16,11,159,10,130,11,24,2,1,6,
1851,MC Kleuver,https://www.hebban.nl/auteur/mc-kleuver,27,,3,0,0,0,2,,,,
1852,Gerard van Gemert,https://www.hebban.nl/auteur/gerard-van-gemert-3,3,24,184,4,67,24,29,4,,,
1853,H.M. van den Brink,https://www.hebban.nl/auteur/hans-maarten-van-den-brink,7,20,245,5,107,20,18,3,1,2,
1854,Johan Op de Beeck,https://www.hebban.nl/auteur/johan-op-de-beeck-2,2,25,233,32,283,25,26,1,,,
1855,Ava Dellaira,https://www.hebban.nl/auteur/ava-dellaira,6,21,162,5,162,21,12,,,,
1856,Cristina Caboni,https://www.hebban.nl/auteur/cristina-caboni,10,17,526,24,704,17,54,1,,5,
1857,Jack Lance,https://www.hebban.nl/auteur/jack-lance,21,6,180,2,114,6,36,3,,3,
1858,Anton Tsjechov,https://www.hebban.nl/auteur/anton-tsjechov,6,21,203,16,110,21,6,,,9,
1859,Jonathan Coe,https://www.hebban.nl/auteur/jonathan-coe,6,21,447,11,279,21,19,,1,,
1860,Pat Barker,https://www.hebban.nl/auteur/pat-barker,5,22,319,9,179,22,13,1,,3,
1861,Ingrid Black,https://www.hebban.nl/auteur/ingrid-black,22,5,152,2,60,5,20,,,,
1862,Guzel Jachina,https://www.hebban.nl/auteur/guzel-jachina,2,25,185,9,230,25,9,,,4,
1863,Per Petterson,https://www.hebban.nl/auteur/per-petterson,9,18,478,9,182,18,33,1,,,
1864,Adrian McKinty,https://www.hebban.nl/auteur/adrian-mckinty,4,23,744,18,678,23,38,,,1,
1865,Astrid Habraken,https://www.hebban.nl/auteur/astrid-habraken,25,,30,0,13,1,15,,,,
1866,Karolien Berkvens,https://www.hebban.nl/auteur/karolien-berkvens,24,2,44,2,50,2,15,2,,1,
1867,Kelly Oram,https://www.hebban.nl/auteur/kelly-oram-2,0,26,175,6,339,26,27,,,,
1868,Eugen O. Chirovici,https://www.hebban.nl/auteur/eugen-o-chirovici,10,16,517,16,318,16,31,1,,5,
1869,Jagritta Olthof,https://www.hebban.nl/auteur/jagritta-olthof,9,17,39,1,34,17,21,,,,
1870,Lydia Brewster,https://www.hebban.nl/auteur/lydia-brewster,25,,14,1,7,0,6,,,11,
1871,Jill Shalvis,https://www.hebban.nl/auteur/jill-shalvis,6,20,463,24,448,20,6,,,3,
1872,Liz Pichon,https://www.hebban.nl/auteur/liz-pichon,6,20,172,6,49,19,6,,,3,
1873,Vince Flynn,https://www.hebban.nl/auteur/vince-flynn,17,9,246,6,153,9,21,3,,,
1874,Shanna Swendson,https://www.hebban.nl/auteur/shanna-swendson,5,21,185,0,39,21,12,,,,
1875,Martin Cruz Smith,https://www.hebban.nl/auteur/martin-cruz-smith,12,14,247,2,52,14,19,,,,
1876,Kim Faber,https://www.hebban.nl/auteur/kim-faber,9,17,641,44,1044,17,42,,,2,
1877,Liselotte Stavorinus,https://www.hebban.nl/auteur/liselotte-stavorinus,23,3,207,5,63,3,37,5,,,
1878,Okuaj,https://www.hebban.nl/auteur/okuaj,25,,2,0,1,1,2,,,1,
1879,Peter Schaap,https://www.hebban.nl/auteur/peter-schaap,22,4,165,2,100,4,26,1,,5,
1880,Bert Bergs,https://www.hebban.nl/auteur/bert-bergs,23,3,41,0,52,3,18,,,1,
1881,Miguel Cervantes De Saavedra,https://www.hebban.nl/auteur/miguel-cervantes-de-saavedra,3,23,223,13,110,23,3,,,1,
1882,Katherine Pancol,https://www.hebban.nl/auteur/katherine-pancol,8,18,480,14,180,18,7,,,,
1883,Emily Kocken,https://www.hebban.nl/auteur/emily-kocken,25,,18,2,33,1,3,,,,
1884,Marianne van der Wal,https://www.hebban.nl/auteur/marianne-van-der-wal,24,2,19,0,12,2,12,,,,
1885,Sarah Dunant,https://www.hebban.nl/auteur/sarah-dunant,7,19,200,1,90,19,12,1,,,
1886,Patrick Berkhof,https://www.hebban.nl/auteur/patrick-berkhof,18,8,59,4,54,8,24,,,1,
1887,Ray Bradbury,https://www.hebban.nl/auteur/ray-bradbury,4,22,381,5,171,22,11,1,,3,1
1888,Nanna Dillen,https://www.hebban.nl/auteur/nanna-dillen,26,,5,0,11,0,4,,,,
1889,Nelson DeMille,https://www.hebban.nl/auteur/nelson-demille,16,10,252,4,147,10,22,1,,,
1890,Roos van Rijswijk,https://www.hebban.nl/auteur/roos-van-rijswijk,23,3,130,8,104,3,20,3,1,4,
1891,Jérôme Loubry,https://www.hebban.nl/auteur/jerome-loubry,5,21,174,18,569,21,17,,,1,
1892,A.A. Milne,https://www.hebban.nl/auteur/aa-milne,7,19,471,6,38,19,2,2,,4,
1893,Wessel de Valk,https://www.hebban.nl/auteur/wessel-de-valk,25,,27,1,23,1,17,,,2,
1894,Julie Kenner,https://www.hebban.nl/auteur/julie-kenner,15,11,291,7,143,11,7,,,,
1895,Ferdinand von Schirach,https://www.hebban.nl/auteur/ferdinand-von-schirach-3,16,10,282,6,118,10,26,,,,
1896,Marga Minco,https://www.hebban.nl/auteur/marga-minco,10,16,1719,10,105,16,15,,1,4,
1897,Roelant Sagehouwer,https://www.hebban.nl/auteur/roelant-sagehouwer,0,26,75,4,51,26,6,,,,
1898,Wendy Noordzij,https://www.hebban.nl/auteur/wendy-noordzij,25,,13,0,4,1,10,,,,
1899,Patrick Maes,https://www.hebban.nl/auteur/patrick-maes,25,,16,0,23,1,9,,,,
1900,Mark Z. Danielewski,https://www.hebban.nl/auteur/mark-z-danielewski,4,22,96,7,183,22,14,,,1,
1901,Inge Pietjouw,https://www.hebban.nl/auteur/inge-pietjouw,15,11,62,3,66,11,15,,,1,
1902,Salla Simukka,https://www.hebban.nl/auteur/salla-simukka,8,18,123,3,96,18,11,1,,,
1903,Venugopalan Ittekot,https://www.hebban.nl/auteur/venugopalan-ittekot,8,18,154,10,72,18,5,,,,
1904,Romy Hausmann,https://www.hebban.nl/auteur/romy-hausmann,10,16,283,7,485,16,58,1,,2,
1905,Edgar Hilsenrath,https://www.hebban.nl/auteur/edgar-hilsenrath,4,22,162,4,147,22,21,,,,
1906,Solomonica de Winter,https://www.hebban.nl/auteur/solomonica-de-winter,15,11,104,2,80,11,12,1,1,,
1907,Ragnar Jónasson,https://www.hebban.nl/auteur/ragnar-jonasson,19,7,666,12,1003,7,35,2,,3,
1908,Carla Norton,https://www.hebban.nl/auteur/carla-norton,9,17,229,6,128,17,45,2,,,
1909,Michiel Stokvis,https://www.hebban.nl/auteur/michiel-stokvis,26,,0,0,1,0,0,,,,
1910,Matthew Reilly,https://www.hebban.nl/auteur/matthew-reilly,21,5,236,2,83,5,24,,,2,
1911,Jennifer Crusie,https://www.hebban.nl/auteur/jennifer-crusie,11,15,454,5,160,15,13,,,1,
1912,Christoffer Carlsson,https://www.hebban.nl/auteur/christoffer-carlsson,19,7,330,12,447,7,33,1,,1,
1913,Eva Moraal,https://www.hebban.nl/auteur/eva-moraal,11,14,109,2,80,14,26,1,,,
1914,Benny Lindelauf,https://www.hebban.nl/auteur/benny-lindelauf,7,18,180,6,90,18,10,,1,,
1915,Timur Vermes,https://www.hebban.nl/auteur/timur-vermes,6,19,378,18,116,19,25,,,,
1916,Kerstin Ekman,https://www.hebban.nl/auteur/kerstin-ekman,15,10,220,0,182,10,11,,,3,
1917,Morgan Rhodes,https://www.hebban.nl/auteur/morgan-rhodes,7,18,124,4,88,18,4,,,,
1918,Jessica Sorensen,https://www.hebban.nl/auteur/jessica-sorensen,10,15,171,3,81,15,5,1,,1,
1919,Scott Lynch,https://www.hebban.nl/auteur/s-lynch,12,13,99,3,70,13,4,,,3,
1920,Maarten van Rossem,https://www.hebban.nl/auteur/maarten-van-rossem,21,4,273,11,150,4,10,3,,,
1921,Alistair Maclean,https://www.hebban.nl/auteur/alistair-maclean-2,3,22,949,8,86,22,15,,,2,
1922,Janni Pedersen,https://www.hebban.nl/auteur/janni-pedersen,8,17,641,44,1044,17,42,,,2,
1923,Mechtild Borrmann,https://www.hebban.nl/auteur/mechtild-borrmann,5,20,377,11,393,20,33,1,,10,
1924,Tarjei Vesaas,https://www.hebban.nl/auteur/tarjei-vesaas,2,23,248,12,258,23,16,1,,2,
1925,Inge Spaan,https://www.hebban.nl/auteur/inge-spaan,22,3,52,6,42,3,18,,,,
1926,Julie Hastrup,https://www.hebban.nl/auteur/julie-hastrup,15,10,134,4,40,10,15,,,1,
1927,Krystyna Kuhn,https://www.hebban.nl/auteur/krystyna-kuhn,14,11,243,9,118,11,5,,,1,
1928,Desmond Bagley,https://www.hebban.nl/auteur/desmond-bagley,13,12,407,5,71,12,6,,,1,
1929,Jim Crace,https://www.hebban.nl/auteur/jim-crace,21,4,49,0,116,4,6,1,,,
1930,Kathleen Grissom,https://www.hebban.nl/auteur/kathleen-grissom,,24,181,8,135,24,4,,,1,
1931,Carine J.a. Maes,https://www.hebban.nl/auteur/carine-ja-maes,22,3,31,1,21,3,19,,,1,
1932,Selma van de Perre,https://www.hebban.nl/auteur/selma-van-de-perre,3,22,540,19,613,22,14,,,,
1933,Claudia De Breij,https://www.hebban.nl/auteur/claudia-de-breij-2,0,25,659,35,126,25,35,,,,
1934,Jaap Scholten,https://www.hebban.nl/auteur/jaap-scholten,4,21,402,22,261,21,40,1,1,2,
1935,Jeff VanderMeer,https://www.hebban.nl/auteur/jeff-vandermeer,14,11,202,9,239,11,16,13,,10,
1936,Ule Hansen,https://www.hebban.nl/auteur/ule-hansen,15,10,396,13,320,10,33,,,2,
1937,Lieve Baken,https://www.hebban.nl/auteur/lieve-baken,25,,5,1,2,0,0,,,,
1938,Siegfried Lenz,https://www.hebban.nl/auteur/siegfried-lenz,2,23,222,3,98,23,28,,,3,
1939,Doris Lessing,https://www.hebban.nl/auteur/doris-lessing,4,21,203,1,67,21,8,1,,3,
1940,Brian Staveley,https://www.hebban.nl/auteur/brian-staveley,15,10,149,8,137,10,8,4,,1,
1941,Aniana Taelman,https://www.hebban.nl/auteur/aniana-taelman,24,,9,1,46,1,5,1,,,
1942,Tammy Cohen,https://www.hebban.nl/auteur/tammy-cohen,11,14,515,8,451,13,17,,,2,
1943,Peter Dewillis,https://www.hebban.nl/auteur/peter-dewillis,15,10,152,4,114,10,45,,,1,
1944,Natalie Cox,https://www.hebban.nl/auteur/natalie-cox,7,18,347,8,263,18,22,,,4,
1945,Joris Adriaansen,https://www.hebban.nl/auteur/joris-adriaansen,25,,8,0,5,0,8,,,,
1946,Matthijs Kleyn,https://www.hebban.nl/auteur/matthijs-kleyn,8,17,172,10,124,17,29,5,,,
1947,Stefaan Degand,https://www.hebban.nl/auteur/stefaan-degand,3,22,254,20,295,22,15,,,,
1948,Arjen van Veelen,https://www.hebban.nl/auteur/arjen-van-veelen-2,8,17,454,16,228,17,80,1,5,11,
1949,Marieke Pallada,https://www.hebban.nl/auteur/marieke-pallada,25,,1,0,0,0,0,,,,
1950,Robert Vuijsje,https://www.hebban.nl/auteur/robert-vuijsje,12,13,691,12,222,13,37,8,4,2,
1951,Kristien Dieltiens,https://www.hebban.nl/auteur/kristien-dieltiens,7,18,142,4,88,18,4,,,,
1952,Tom Wood,https://www.hebban.nl/auteur/tom-wood,16,9,382,8,285,9,24,,,,
1953,Roberta Rich,https://www.hebban.nl/auteur/roberta-rich,6,19,402,9,162,19,8,,,,
1954,Øbro & Tornbjerg,https://www.hebban.nl/auteur/obro-tornbjerg-2,24,,110,1,42,1,16,,,,
1955,Amor Towles,https://www.hebban.nl/auteur/amor-towles,3,22,124,10,118,22,9,,,1,
1956,Koos Meinderts,https://www.hebban.nl/auteur/koos-meinderts,10,15,470,8,166,15,36,4,3,7,
1957,Peter Frankopan,https://www.hebban.nl/auteur/peter-frankopan,6,19,133,26,220,19,8,,,1,
1958,Orlando Figes,https://www.hebban.nl/auteur/orlando-figes,9,16,88,18,114,16,3,,,2,
1959,Wim Daniëls,https://www.hebban.nl/auteur/wim-daniels,18,7,339,14,222,7,21,,1,1,
1960,Wim Van Teutem,https://www.hebban.nl/auteur/wim-van-teutem,24,,12,1,2,1,10,,,1,
1961,Youp van 't Hek,https://www.hebban.nl/auteur/youp-van-t-hek,16,9,709,22,268,9,8,3,1,1,
1962,Judith Lennox,https://www.hebban.nl/auteur/judith-lennox,16,9,511,13,274,9,13,,,,
1963,Ali Land,https://www.hebban.nl/auteur/ali-land,17,8,304,3,251,8,40,2,,1,
1964,Lauren St John,https://www.hebban.nl/auteur/lauren-st-john,3,21,113,5,46,21,11,,,,
1965,Bob den Uyl,https://www.hebban.nl/auteur/bob-den-uyl,10,14,219,4,40,14,3,,,,
1966,Jamie McGuire,https://www.hebban.nl/auteur/jamie-mcguire,6,18,113,1,57,18,5,,,,
1967,Hilke Makkink,https://www.hebban.nl/auteur/hilke-makkink,0,24,520,13,447,24,27,,,,
1968,Angie Sage,https://www.hebban.nl/auteur/angie-sage,9,15,260,6,148,15,8,,,,
1969,Maaike Helmer,https://www.hebban.nl/auteur/maaike-helmer,23,,17,0,21,1,6,,,,
1970,Conn Iggulden,https://www.hebban.nl/auteur/conn-iggulden,14,10,172,13,170,10,11,1,,3,
1971,Cathy Saelens,https://www.hebban.nl/auteur/cathy-saelens,22,2,12,1,12,2,6,,,,
1972,Elly van Driel,https://www.hebban.nl/auteur/elly-van-driel,21,3,26,2,24,3,10,,,1,
1973,Jorge Luis Borges,https://www.hebban.nl/auteur/jorge-luis-borges,7,17,80,5,91,17,9,,,3,
1974,Marijke Schermer,https://www.hebban.nl/auteur/marijke-schermer,8,16,537,15,385,16,36,5,2,4,
1975,Günter Grass,https://www.hebban.nl/auteur/gunter-grass,4,20,570,8,111,20,13,1,,5,
1976,Frederik Van Eeden,https://www.hebban.nl/auteur/frederik-van-eeden-2,0,24,0,0,0,0,0,,,,
1977,Christine Otten,https://www.hebban.nl/auteur/christine-otten,17,7,300,10,240,7,60,7,3,2,
1978,Sarah Meuleman,https://www.hebban.nl/auteur/sarah-meuleman,14,10,203,3,301,10,20,8,1,3,
1979,Douglas Kennedy,https://www.hebban.nl/auteur/douglas-kennedy,7,17,136,4,19,17,14,,,,
1980,Norman Russo,https://www.hebban.nl/auteur/norman-russo,24,,2,0,0,0,0,,,,
1981,David Hair,https://www.hebban.nl/auteur/david-hair,17,7,218,11,323,7,11,2,,1,
1982,Christiaan Weijts,https://www.hebban.nl/auteur/christiaan-weijts,12,12,232,9,116,12,27,3,3,1,
1983,Johan Fretz,https://www.hebban.nl/auteur/johan-fretz,7,17,360,11,212,17,16,1,2,1,1
1984,Antoni Dol,https://www.hebban.nl/auteur/antoni-dol,24,,6,0,6,0,5,,,,
1985,Ward Ruyslinck,https://www.hebban.nl/auteur/ward-ruyslinck,3,21,399,2,28,21,21,1,,,
1986,Meg Rosoff,https://www.hebban.nl/auteur/meg-rosoff,6,18,300,5,210,18,53,6,,4,
1987,Ibolya Moór,https://www.hebban.nl/auteur/ibolya-moor,24,,3,0,0,0,1,,,,
1988,Deborah Raney,https://www.hebban.nl/auteur/deborah-raney,7,17,534,3,166,17,37,,,,
1989,Birger Baug,https://www.hebban.nl/auteur/birger-baug,22,2,144,3,57,2,17,,,,
1990,Yotam Ottolenghi,https://www.hebban.nl/auteur/yotam-ottolenghi,12,12,150,16,119,12,7,5,,10,
1991,Noud Bles,https://www.hebban.nl/auteur/noud-bles,20,4,18,1,26,4,10,,,1,
1992,Laura Marshall,https://www.hebban.nl/auteur/laura-marshall-2,8,16,814,22,746,16,21,,,,
1993,Walter van den Berg,https://www.hebban.nl/auteur/walter-van-den-berg,12,12,487,15,417,12,24,2,6,3,
1994,Nadine Swagerman,https://www.hebban.nl/auteur/nadine-swagerman,17,7,135,0,191,7,32,6,,2,
1995,Susan Muskee,https://www.hebban.nl/auteur/susan-muskee,16,8,281,9,296,8,17,1,,1,
1996,Anne Lee Waldo,https://www.hebban.nl/auteur/anne-lee-waldo,0,24,110,4,47,24,2,,,,
1997,Ian Laverman,https://www.hebban.nl/auteur/ian-laverman,16,8,92,3,107,8,33,,,3,
1998,Manon Meijer,https://www.hebban.nl/auteur/manon-meijer,23,,7,0,3,1,5,,,1,
1999,Gunnar Staalesen,https://www.hebban.nl/auteur/gunnar-staalesen,12,12,285,8,253,12,15,,,1,
2000,Motell Rijnen,https://www.hebban.nl/auteur/motell-rijnen,19,5,40,1,14,5,27,,,,
2001,Affinity Konar,https://www.hebban.nl/auteur/affinity-konar,10,14,229,5,176,14,61,,,4,
2002,Marco Geldermans,https://www.hebban.nl/auteur/marco-geldermans,24,,0,0,1,0,0,,,,
2003,Kelly Moran,https://www.hebban.nl/auteur/kelly-moran,2,22,815,21,741,22,32,,,1,
2004,Pat Van  Beirs,https://www.hebban.nl/auteur/pat-van-beirs,8,16,127,2,64,16,7,,,,
2005,Juan Gabriel Vásquez,https://www.hebban.nl/auteur/juan-gabriel-vasquez,3,21,207,13,167,21,21,3,1,1,
2006,Lara Taveirne,https://www.hebban.nl/auteur/lara-taveirne,6,18,205,6,146,18,16,,,2,
2007,Mirjam Schippers,https://www.hebban.nl/auteur/mirjam-schippers,16,8,31,3,28,8,0,,,,
2008,Ineke Kraijo,https://www.hebban.nl/auteur/ineke-kraijo,8,16,158,2,156,16,46,1,,1,
2009,Marceline de Waard,https://www.hebban.nl/auteur/marceline-de-waard,23,,34,1,33,1,20,,1,,
2010,Marco Kunst,https://www.hebban.nl/auteur/marco-kunst,7,17,205,8,108,17,27,,,5,
2011,Holly Bourne,https://www.hebban.nl/auteur/holly-bourne,4,20,151,9,120,20,12,,,3,
2012,Robyn Young,https://www.hebban.nl/auteur/robyn-young,11,13,200,6,146,13,9,1,,1,
2013,Jan Paul Schutten,https://www.hebban.nl/auteur/jan-paul-schutten,11,13,288,13,188,13,34,9,3,3,
2014,Judith de Laat,https://www.hebban.nl/auteur/judith-de-laat,16,8,18,2,21,8,9,,,,
2015,Susanne van den Beukel-Hendriks,https://www.hebban.nl/auteur/susanne-van-den-beukel-hendriks,23,,29,1,8,1,18,,,,
